id_arete;parent;lstpoints;highway;nom;surface;dist;deb;fin
23585325;23585325;[255402679, 388382241];living_street;Rue Adolphe Thiers;concrete:plates;14.2;255402679;388382241
23585340;23585340;[388382241, 6256038960, 8254499980, 388189690];pedestrian;Place Jacques Portes;concrete:plates;53.4;388382241;388189690
24778994;24778994;[255402735, 1828784585];pedestrian;Rue de la Monnaie;sett;20.5;255402735;1828784585
32392579;32392579;[364416834, 7284645447, 5940751186];primary;Avenue Henri Grenet;asphalt;22.2;364416834;5940751186
33881143;33881143;[388189690, 7055043849];pedestrian;Rue Albert 1er;asphalt;31.6;388189690;7055043849
33881168;33881168;[388382253, 1796035923, 388189779];residential;Rue du Temple;;38.5;388382253;388189779
33881170;33881170;[388189796, 3585243484, 3585243489, 388189795];residential;Rue André Bouillar;;38.6;388189796;388189795
33881271;33881271;[1694774183, 254936749, 5641481558, 254936750, 254936751];primary;Avenue Henri Grenet;asphalt;56.8;1694774183;254936751
33881281;33881281;[4867744975, 254935709, 570750540];residential;Quai de Lesseps;asphalt;139.2;4867744975;570750540
33892685;33892685;[254920704, 8231858772, 388487692];residential;Pont Marengo;asphalt;15.1;254920704;388487692
33892687;33892687;[1806155778, 388324411, 1797205800, 254920454];tertiary;Pont du Génie;asphalt;11.5;1806155778;254920454
33892689;33892689;[254522028, 4271454597, 254522029, 5484528653, 1797205740, 5494546538, 4271454615, 254522030, 5494546537, 1797205746, 5494546536, 1797205757, 5494546535, 254522031, 1797205778, 1797205789, 255403540, 1829830236, 388496641, 1829830238, 254522035];primary;Avenue de l'Aquitaine;asphalt;371.9;254522028;254522035
33898646;33898646;[269247897, 4868366910, 7531505242];residential;Rue des Gouverneurs;asphalt;45.9;269247897;7531505242
33898655;33898655;[269247914, 6256038969, 5480563762, 3563718669, 269247916];living_street;Place du Château-Vieux;asphalt;86.4;269247914;269247916
33898658;33898658;[388189793, 712884540];residential;Rue de Gramont;;49.7;388189793;712884540
33898660;33898660;[388382253, 5602458346, 12589767721, 388382255];living_street;Rue du Temple;;46.2;388382253;388382255
33898661;33898661;[388382259, 4109357226, 12589755983];pedestrian;Rue Édouard Ducéré;paving_stones;28.0;388382259;12589755983
33898663;33898663;[388314411, 4109357225, 388314412];pedestrian;Rue des Carmes;paving_stones;71.9;388314411;388314412
33898665;33898665;[388382272, 388382269, 3513549750, 388382274];pedestrian;Ruelle Port-Neuf;paving_stones;35.4;388382272;388382274
33898667;33898667;[388382280, 863337494, 388382282];pedestrian;Ruelle Gardin;asphalt;129.8;388382280;388382282
33898671;33898671;[388382297, 388382294];pedestrian;Rue Gosse;;93.6;388382297;388382294
33898682;33898682;[388382398, 388382401, 388382407, 388382341];residential;Rue Douer;paving_stones;93.7;388382398;388382341
33898686;33898686;[388382450, 388382422];pedestrian;Rue Gosse;asphalt;31.2;388382450;388382422
33898689;33898689;[255400676, 4868369148];tertiary;Avenue de Pampelune;asphalt;15.6;255400676;4868369148
33898691;33898691;[388382478, 9887512373];footway;Ruelle des Basques;;2.9;388382478;9887512373
33898698;33898698;[388382460, 5484526628];steps;Passage de la Pusterle;sett;13.5;388382460;5484526628
33907992;33907992;[5484528547, 388487694];pedestrian;Pont Pannecau;asphalt;47.1;5484528547;388487694
33908589;33908589;[840829607, 5484526646, 388324410];tertiary;Pont du Génie;asphalt;14.7;840829607;388324410
33908591;33908591;[254522037, 476292635];primary;Avenue de l'Aquitaine;asphalt;38.6;254522037;476292635
34571117;34571117;[401332551, 1890041694, 255403497];secondary;Rue Gustave Eiffel;asphalt;23.2;401332551;255403497
34571118;34571118;[255403497, 476292636];secondary;Rue Gustave Eiffel;asphalt;58.1;255403497;476292636
34571120;34571120;[401332570, 476370678, 5484528658, 5484526670, 476370675, 1890041728, 6406843624, 5484528657, 255402866];secondary;Avenue Duvergier de Hauranne;asphalt;68.9;401332570;255402866
39676219;39676219;[711707605, 5484526694, 255402862];secondary;Avenue Duvergier de Hauranne;asphalt;49.8;711707605;255402862
39726139;39726139;[476283454, 5464276933, 5464276934, 476283459];residential;Boulevard Jean Jaurès;asphalt;28.3;476283454;476283459
39726140;39726140;[476283453, 3874411849, 2858095583, 476283460, 6753623792, 6753623791, 6753623789, 3415985384, 6753623790, 254933412];residential;Rue René Cuzacq;;85.2;476283453;254933412
39726141;39726141;[476283459, 5464276935, 476283455];residential;Boulevard Jean Jaurès;asphalt;28.8;476283459;476283455
39726159;39726159;[476283456, 5464276931, 5464276932, 5464276936, 5464276937, 476283483, 11257819636];residential;Impasse Rigaud;asphalt;41.7;476283456;11257819636
39726161;39726161;[476283486, 3758984769, 3758984767, 3758984768, 7695922592, 476283484];residential;Avenue des Prés;asphalt;85.5;476283486;476283484
39726164;39726164;[1829836630, 8758462053];residential;Rue des Lavandières;asphalt;49.5;1829836630;8758462053
39726967;39726967;[476292634, 5484528683, 255403498];secondary;Rue Gustave Eiffel;asphalt;14.7;476292634;255403498
39726969;39726969;[388496637, 5484528681, 1829828188, 5484528674, 5484528680, 476292634];secondary;Rue Gustave Eiffel;asphalt;31.4;388496637;476292634
39726970;39726970;[254522038, 6406843630, 254522040, 3730550161, 254522041, 6406843636, 6406843635, 254522042, 6406843634, 3730550158, 6406843633, 3730550159, 254522043, 6406843632, 6406843631, 254522044];primary;Avenue de l'Aquitaine;asphalt;442.2;254522038;254522044
39726971;39726971;[476292635, 254522038];primary;Avenue de l'Aquitaine;;20.6;476292635;254522038
39726973;39726973;[493187537, 1829828166, 476292637, 1829828195, 476292636];secondary_link;Avenue de l'Aquitaine;asphalt;49.6;493187537;476292636
39726975;39726975;[255402932, 476292638];secondary;Avenue Duvergier de Hauranne;;32.4;255402932;476292638
39726976;39726976;[476292638, 1428798261];secondary;Avenue Duvergier de Hauranne;asphalt;10.6;476292638;1428798261
39729513;39729513;[255402862, 9573469344, 1690923979, 1690923976, 5484528529, 3730559972, 3730559971, 254951178];residential;Avenue Commandant William Boissel;asphalt;132.8;255402862;254951178
39729517;39729517;[254951185, 8995565843, 3737650714, 269248034];residential;Rue Jacques Laffitte;asphalt;56.5;254951185;269248034
39741882;39741882;[4865716982, 1830939774, 5641481527, 5641481528, 254935711, 5641481529, 6943063121, 254935712, 6943063122];residential;Quai de Lesseps;asphalt;239.9;4865716982;6943063122
40611322;40611322;[493187540, 493187539];primary;Avenue de l'Aquitaine;;24.0;493187540;493187539
40611327;40611327;[493202396, 6406843628, 6406843627, 493187541, 493187540];primary;Avenue de l'Aquitaine;asphalt;125.9;493202396;493187540
44960482;44960482;[6753623803, 570056479, 570056253];residential;Rue Albert Thomas;asphalt;60.4;6753623803;570056253
44960497;44960497;[570056264, 8138542315, 8138542316, 8138542314, 6212829690, 8138542313, 6212829689, 570056330];residential;Chemin de Hamboum;asphalt;85.1;570056264;570056330
45425191;45425191;[570056299, 5641915885, 5641915881, 6212829701];residential;Rue Hélène Feillet;asphalt;27.1;570056299;6212829701
45456375;45456375;[7003853474, 7003875556, 7003875562, 7003875563, 7590075013, 7003875564, 7590075014];service;Place du Réduit;asphalt;79.7;7003853474;7590075014
46760513;46760513;[597616222, 6147646006, 6147646007, 10143043257, 254951183];residential;Square Léo Pouzac;asphalt;33.4;597616222;254951183
49695415;49695415;[388382329, 254920704];living_street;Quai Dominique Roquebert;asphalt;35.7;388382329;254920704
49695416;49695416;[254053884, 255321728, 1801848709];residential;Quai Amiral Dubourdieu;asphalt;13.8;254053884;1801848709
49695418;49695418;[388382303, 4109357222, 388382328];pedestrian;Rue Guilhamin;paving_stones;44.3;388382303;388382328
56178027;56178027;[704988991, 6015172773, 6015172772, 2024619984, 704988997, 2024619985, 704988998, 5926914304, 3660030339, 8989919409, 10757161618, 704988987];residential;Avenue Jean Molinié;asphalt;315.1;704988991;704988987
56178030;56178030;[704988994, 5602458351, 5602458350, 10757161615, 704988988];residential;Avenue Marie-Anne de Neubourg;asphalt;213.4;704988994;704988988
56178230;56178230;[704990065, 8989919410, 704990126, 704990124, 8989911121, 704990122];residential;Avenue Général Ducasse;asphalt;231.9;704990065;704990122
56178232;56178232;[704990043, 3554296003, 595783576];residential;Rue Jean-Delphin Alard;asphalt;121.8;704990043;595783576
56178233;56178233;[704990035, 704990034, 704990033, 704990032, 704990031, 704990039, 7462534761, 7462534760, 704990038, 704990052];living_street;Rue de Malledaille;asphalt;152.6;704990035;704990052
56178235;56178235;[595783483, 3554296004, 704990036, 6015172782, 6015172781, 704990053];residential;Rue Caroline Rimbert;asphalt;107.3;595783483;704990053
56178439;56178439;[595783496, 3658946931, 6015172986, 3658946933, 3658946932, 3658946930];residential;Rue Menigne Saube Le Bile;asphalt;31.0;595783496;3658946930
56181561;56181561;[1722019575, 7040731291, 705013944];residential;Rue Sauveur Narbaitz;asphalt;125.8;1722019575;705013944
56183873;56183873;[705032459, 705032455, 3569078794, 6015172991, 705032468];residential;Avenue Sous-Lieutenant Iribarne;asphalt;93.3;705032459;705032468
56291896;56291896;[706198529, 706198530];residential;Rue Haurena;asphalt;53.2;706198529;706198530
56291898;56291898;[706198536, 706198537];residential;;;25.0;706198536;706198537
56291900;56291900;[706198534, 706198535, 1879417868, 706198533];residential;;;35.8;706198534;706198533
56291937;56291937;[706198602, 706198601];residential;Avenue des Tilleuls;asphalt;82.1;706198602;706198601
56300958;56300958;[706302159, 706302167];residential;Rue des Visitandines;;23.9;706302159;706302167
56300960;56300960;[706302148, 706302165, 597616411];pedestrian;Rue de Coursic;asphalt;77.7;706302148;597616411
56300962;56300962;[706302153, 706302146];pedestrian;Rue Charcutière;asphalt;31.5;706302153;706302146
56300963;56300963;[706302144, 2429841208, 706302138];pedestrian;Rue Pierre Lesca;asphalt;43.1;706302144;706302138
56300970;56300970;[706302243, 706302236];pedestrian;Rue du Jeu de Paume;paving_stones;28.8;706302243;706302236
56300973;56300973;[706302268, 6154744502, 706302504];residential;Rue Monseigneur François Lacroix;asphalt;82.4;706302268;706302504
56301383;56301383;[706311222, 706311282, 706311327, 706311284];residential;Impasse Poydenot;;112.5;706311222;706311284
57015647;57015647;[388382481, 4271484711, 2441529160, 2441529162, 388382483];service;Avenue Maréchal Leclerc;;34.6;388382481;388382483
57016148;57016148;[388189778, 1887243227, 1806155785, 1879458863];residential;Avenue du 11 Novembre 1918;asphalt;34.8;388189778;1879458863
57016927;57016927;[597617167, 5494546564, 711684504, 10736102803, 1806149100];tertiary;Allée des Platanes;asphalt;60.7;597617167;1806149100
57359593;57359593;[388189796, 6043901031, 712884540];residential;Rue de Gramont;asphalt;29.8;388189796;712884540
57868021;57868021;[717860502, 717860585];residential;Impasse Joseph Desarménien;asphalt;36.3;717860502;717860585
57868023;57868023;[717860464, 8992941282, 717860603];residential;Rue Cassaigne;asphalt;85.2;717860464;717860603
57868024;57868024;[717860600, 717860461];residential;Impasse du Chanteur Paulus;asphalt;45.5;717860600;717860461
57868025;57868025;[717860576, 6753609081, 6753609080, 717860593, 717860476, 717860508];residential;Cité Furtado;asphalt;105.1;717860576;717860508
57868026;57868026;[717860570, 717860491];residential;Impasse Paul Barroilhet;asphalt;26.0;717860570;717860491
57868027;57868027;[1830766532, 717860510];residential;Rue Vasserot;asphalt;101.6;1830766532;717860510
57869095;57869095;[717877854, 8018185351, 717877793, 254935072];pedestrian;;asphalt;31.6;717877854;254935072
78628995;78628995;[706302159, 706302156];residential;Rue des Visitandines;asphalt;52.4;706302159;706302156
78629001;78629001;[257607977, 8231858770, 269248037];residential;Rue des Lisses;asphalt;19.7;257607977;269248037
80673589;80673589;[6290769331, 4504341856];pedestrian;Place Jeanne d'Albret;paving_stones;19.3;6290769331;4504341856
83162583;83162583;[967747793, 631661853];residential;Rue Saubiole;asphalt;64.4;967747793;631661853
83162584;83162584;[631661853, 7565795333, 7565795332, 4868225021, 4868223520];pedestrian;Quai des Corsaires;sett;83.1;631661853;4868223520
133083437;133083437;[1464368283, 11980405124];pedestrian;Allée de la Poterne;paving_stones;2.7;1464368283;11980405124
133083438;133083438;[1464368282, 6256038965, 6256038967, 11980929390, 6256038966];footway;Allée de la Poterne;asphalt;57.0;1464368282;6256038966
143965438;143965438;[1575406417, 1575406425];secondary;Allées Marines;asphalt;66.0;1575406417;1575406425
143965439;143965439;[1575406425, 1722019552];secondary;Allées Marines;asphalt;85.4;1575406425;1722019552
143965442;143965442;[3651250502, 10708960724];secondary;Allées Marines;asphalt;68.1;3651250502;10708960724
151504737;151504737;[3362291617, 2441623384];pedestrian;Quai Amiral Antoine Sala;asphalt;11.6;3362291617;2441623384
155254575;155254575;[5464276907, 6212829705, 254935066];residential;Boulevard Jean d'Amou;asphalt;13.9;5464276907;254935066
157266497;157266497;[1694774113, 7040731321, 10708960720, 704989001];secondary;Boulevard du BAB;asphalt;85.1;1694774113;704989001
157266501;157266501;[254934853, 1829846427];pedestrian;Place de la République;asphalt;19.8;254934853;1829846427
168274024;168274024;[1795586393, 1795586402, 6155693604, 1795586401];service;;asphalt;39.3;1795586393;1795586401
168274026;168274026;[718370071, 718370048];service;;;68.1;718370071;718370048
168293656;168293656;[1795808937, 1795808946];service;;;44.0;1795808937;1795808946
168293949;168293949;[1795814041, 6291465214, 1795814043];service;;;48.1;1795814041;1795814043
168310830;168310830;[1796016004, 1796016022, 1796016038, 1796016031, 1796016034];residential;Rue du Palais;asphalt;110.6;1796016004;1796016034
168310833;168310833;[1796016059, 1796016062];service;;;51.9;1796016059;1796016062
168310835;168310835;[1796016019, 1796016018];tertiary;Avenue Dubrocq;asphalt;11.2;1796016019;1796016018
168310840;168310840;[705032430, 1796016036, 1796016021, 1796016020, 1796016006];service;;;112.0;705032430;1796016006
168452784;168452784;[7629117094, 1797141972, 4868369149, 1797141971];residential;Boulevard du Rempart Lachepaillet;asphalt;9.9;7629117094;1797141971
168453513;168453513;[1797148226, 1797148210, 1797148206, 1797148222, 1797148231];service;;asphalt;49.5;1797148226;1797148231
168456384;168456384;[1797187499, 1797187501];service;;;37.7;1797187499;1797187501
168458263;168458263;[1797196764, 1797196789];service;;asphalt;86.3;1797196764;1797196789
168458510;168458510;[1797205766, 1797205764, 1797205768, 3635462581, 3635462582, 3635462583, 1797205770, 1797205774, 1797205785, 1797205783, 3635462584, 3635462585, 3635462586, 3635462587, 255403509];residential;Giratoire du Bastion Royal;asphalt;39.1;1797205766;255403509
168458513;168458513;[255403509, 5843897980, 255403510, 5843897979, 255403511];residential;Rue du Bastion Royal;asphalt;108.7;255403509;255403511
168459667;168459667;[1797215410, 5769950281, 5769950280, 6406843643, 1797215406, 1797215398];residential;Allée Rose des Vents;;50.1;1797215410;1797215398
168459673;168459673;[1806210315, 1797215416, 1797215411];residential;Impasse Gayon;asphalt;20.1;1806210315;1797215411
168461786;168461786;[1797242441, 5494661404, 1797242438, 1797242431, 3513549736, 5494661405, 1797242428, 1797242425];residential;Allée Martin de Barcos;asphalt;143.1;1797242441;1797242425
168463022;168463022;[1797271577, 1797271574, 1797271560];service;;;56.4;1797271577;1797271560
168463023;168463023;[1797271578, 1797271570, 1797271567];service;;;34.0;1797271578;1797271567
168953061;168953061;[1801329751, 1801329756];service;Place Paul Bert;asphalt;47.5;1801329751;1801329756
168953062;168953062;[1801329759, 6154744507, 1801329754, 6154744508, 1801329750];service;Place Paul Bert;asphalt;74.4;1801329759;1801329750
169009966;169009966;[388189759, 6043901033, 1801850120];residential;Rue Lormand;;39.0;388189759;1801850120
169315385;169315385;[388382460, 11903420351];steps;Passage des Cacolets;sett;5.8;388382460;11903420351
169316389;169316389;[1808592002, 12293559491, 1808592006];pedestrian;Passage des Menouns;asphalt;37.8;1808592002;1808592006
169316599;169316599;[1797271546, 5464276902, 1804849283];residential;Rue des Graouillats;;42.7;1797271546;1804849283
169320936;169320936;[1804905746, 1800874894];residential;Rue des Dominicaines;asphalt;50.3;1804905746;1800874894
169452836;169452836;[1806149110, 1806149106, 5494546560, 5494546562, 6583692170, 597617167];tertiary;Rue Pelletier;asphalt;60.7;1806149110;597617167
169452838;169452838;[1806149118, 3580232893, 1806149147, 1806149139, 1806149148];service;Place de l'Arsenal;asphalt;36.1;1806149118;1806149148
169454701;169454701;[255402704, 7593381782, 3087294868, 6543631622, 254053887, 2013030570, 7593381781, 254053884];secondary;Place de la Liberté;asphalt;81.5;255402704;254053884
169456098;169456098;[1806175487, 1806175537];residential;Place Manuel Castiella;;28.1;1806175487;1806175537
169456102;169456102;[1806175486, 1806175417];unclassified;Rue André Joseau;;27.7;1806175486;1806175417
171918663;171918663;[1828784578, 1828784585];residential;Rue Aristides de Sousa Mendes;sett;60.3;1828784578;1828784585
171918666;171918666;[388496642, 5484528636, 1797148157, 5484528635, 1797148153, 254522025, 254522026];primary;Avenue André Grimard;asphalt;85.9;388496642;254522026
172034639;172034639;[6707433889, 12685035976, 12685035979, 12685035981];residential;Allée Marcel Suarès;asphalt;46.3;6707433889;12685035981
172034642;172034642;[1829836638, 3150254904, 255321840];residential;Rue Aristide Briand;asphalt;34.5;1829836638;255321840
172035331;172035331;[1829852865, 1829852867];pedestrian;Rue du Couvent;asphalt;62.6;1829852865;1829852867
172035339;172035339;[254934854, 1829852857];pedestrian;Rue du Moulin;asphalt;53.7;254934854;1829852857
172035341;172035341;[3150254925, 4867754105, 1829846411];residential;Rue du Canal;asphalt;17.5;3150254925;1829846411
172035342;172035342;[2216543248, 6155693635, 3150255632];pedestrian;Passage Sainte-Catherine;asphalt;45.8;2216543248;3150255632
172156044;172156044;[1830939768, 1830939780, 5641466797, 1830939775, 5641466796, 1830939762, 1830939798, 1830939781, 6943063123, 1830939789];path;;asphalt;84.8;1830939768;1830939789
172156045;172156045;[4867744982, 6943063128, 1830939786, 1830939812, 1830939800, 6943063127, 1830939790, 6943063126, 1830939782, 1830939785, 1830939816, 1830939813, 1830939795, 1830939811, 6943063125, 1830939783];cycleway;;asphalt;53.2;4867744982;1830939783
172156048;172156048;[1830939801, 5473696721, 1830939789];path;;asphalt;14.8;1830939801;1830939789
