id_arete;parent;lstpoints;highway;nom;surface
23585325;23585325;[255402679, 388382241];living_street;Rue Adolphe Thiers;concrete:plates
23585340;23585340;[388382241, 6256038960, 8254499980, 388189690];pedestrian;Place Jacques Portes;concrete:plates
24778994;24778994;[255402735, 1828784585];pedestrian;Rue de la Monnaie;sett
32392579;32392579;[364416834, 7284645447, 5940751186];primary;Avenue Henri Grenet;asphalt
33881143;33881143;[388189690, 7055043849];pedestrian;Rue Albert 1er;asphalt
33881168;33881168;[388382253, 1796035923, 388189779];residential;Rue du Temple;
33881170;33881170;[388189796, 3585243484, 3585243489, 388189795];residential;Rue André Bouillar;
33881271;33881271;[1694774183, 254936749, 5641481558, 254936750, 254936751];primary;Avenue Henri Grenet;asphalt
33881281;33881281;[4867744975, 254935709, 570750540];residential;Quai de Lesseps;asphalt
33892685;33892685;[254920704, 8231858772, 388487692];residential;Pont Marengo;asphalt
33892687;33892687;[1806155778, 388324411, 1797205800, 254920454];tertiary;Pont du Génie;asphalt
33892689;33892689;[254522028, 4271454597, 254522029, 5484528653, 1797205740, 5494546538, 4271454615, 254522030, 5494546537, 1797205746, 5494546536, 1797205757, 5494546535, 254522031, 1797205778, 1797205789, 255403540, 1829830236, 388496641, 1829830238, 254522035];primary;Avenue de l'Aquitaine;asphalt
33898646;33898646;[269247897, 4868366910, 7531505242];residential;Rue des Gouverneurs;asphalt
33898655;33898655;[269247914, 6256038969, 5480563762, 3563718669, 269247916];living_street;Place du Château-Vieux;asphalt
33898658;33898658;[388189793, 712884540];residential;Rue de Gramont;
33898660;33898660;[388382253, 5602458346, 12589767721, 388382255];living_street;Rue du Temple;
33898661;33898661;[388382259, 4109357226, 12589755983];pedestrian;Rue Édouard Ducéré;paving_stones
33898663;33898663;[388314411, 4109357225, 388314412];pedestrian;Rue des Carmes;paving_stones
33898665;33898665;[388382272, 388382269, 3513549750, 388382274];pedestrian;Ruelle Port-Neuf;paving_stones
33898667;33898667;[388382280, 863337494, 388382282];pedestrian;Ruelle Gardin;asphalt
33898671;33898671;[388382297, 388382294];pedestrian;Rue Gosse;
33898682;33898682;[388382398, 388382401, 388382407, 388382341];residential;Rue Douer;paving_stones
33898686;33898686;[388382450, 388382422];pedestrian;Rue Gosse;asphalt
33898689;33898689;[255400676, 4868369148];tertiary;Avenue de Pampelune;asphalt
33898691;33898691;[388382478, 9887512373];footway;Ruelle des Basques;
33898698;33898698;[388382460, 5484526628];steps;Passage de la Pusterle;sett
33907992;33907992;[5484528547, 388487694];pedestrian;Pont Pannecau;asphalt
33908589;33908589;[840829607, 5484526646, 388324410];tertiary;Pont du Génie;asphalt
33908591;33908591;[254522037, 476292635];primary;Avenue de l'Aquitaine;asphalt
34571117;34571117;[401332551, 1890041694, 255403497];secondary;Rue Gustave Eiffel;asphalt
34571118;34571118;[255403497, 476292636];secondary;Rue Gustave Eiffel;asphalt
34571120;34571120;[401332570, 476370678, 5484528658, 5484526670, 476370675, 1890041728, 6406843624, 5484528657, 255402866];secondary;Avenue Duvergier de Hauranne;asphalt
39676219;39676219;[711707605, 5484526694, 255402862];secondary;Avenue Duvergier de Hauranne;asphalt
39726139;39726139;[476283454, 5464276933, 5464276934, 476283459];residential;Boulevard Jean Jaurès;asphalt
39726140;39726140;[476283453, 3874411849, 2858095583, 476283460, 6753623792, 6753623791, 6753623789, 3415985384, 6753623790, 254933412];residential;Rue René Cuzacq;
39726141;39726141;[476283459, 5464276935, 476283455];residential;Boulevard Jean Jaurès;asphalt
39726159;39726159;[476283456, 5464276931, 5464276932, 5464276936, 5464276937, 476283483, 11257819636];residential;Impasse Rigaud;asphalt
39726161;39726161;[476283486, 3758984769, 3758984767, 3758984768, 7695922592, 476283484];residential;Avenue des Prés;asphalt
39726164;39726164;[1829836630, 8758462053];residential;Rue des Lavandières;asphalt
39726967;39726967;[476292634, 5484528683, 255403498];secondary;Rue Gustave Eiffel;asphalt
39726969;39726969;[388496637, 5484528681, 1829828188, 5484528674, 5484528680, 476292634];secondary;Rue Gustave Eiffel;asphalt
39726970;39726970;[254522038, 6406843630, 254522040, 3730550161, 254522041, 6406843636, 6406843635, 254522042, 6406843634, 3730550158, 6406843633, 3730550159, 254522043, 6406843632, 6406843631, 254522044];primary;Avenue de l'Aquitaine;asphalt
39726971;39726971;[476292635, 254522038];primary;Avenue de l'Aquitaine;
39726973;39726973;[493187537, 1829828166, 476292637, 1829828195, 476292636];secondary_link;Avenue de l'Aquitaine;asphalt
39726975;39726975;[255402932, 476292638];secondary;Avenue Duvergier de Hauranne;
39726976;39726976;[476292638, 1428798261];secondary;Avenue Duvergier de Hauranne;asphalt
39729513;39729513;[255402862, 9573469344, 1690923979, 1690923976, 5484528529, 3730559972, 3730559971, 254951178];residential;Avenue Commandant William Boissel;asphalt
39729517;39729517;[254951185, 8995565843, 3737650714, 269248034];residential;Rue Jacques Laffitte;asphalt
